No.,Lab No.,เลขที่รับ,Report No.,Received Date,Analysis Date,Report Date,Sample Code,Sample Name,Supplier,"Production Date
 / Lot",หน่วยงาน,Cost Center,"Sample 
Condition",Result,,,,,,หมายเหตุ,,
,,,,,,,,,,,,,,"Organo
phosphate",Carbamate,"Organo
chlorine",Pyrethroid,"Chloram
phenicol",Nitrofuran,,,
1,C.001/01,C.260102/01,260102/01,30/12/2025,2/1/2026,2-ม.ค.-26,71006013,ขิงสด,โกลด์สตาร์,ร.251230,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,-,-,,,
2,C.002/01,C.260102/02,260102/02,31/12/2025,2/1/2026,2-ม.ค.-26,71006013,ขิงสด,มามา,ร.251231,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
3,C.003/01,C.260102/03,260102/03,1/1/2026,2/1/2026,2-ม.ค.-26,71006013,ขิงสด,มามา,ร.260101,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
4,C.004/01,C.260102/04,260102/04,2/1/2026,2/1/2026,2-ม.ค.-26,71000007,กระเทียม,นพดา,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
5,C.005/01,C.260102/04,260102/05,2/1/2026,2/1/2026,2-ม.ค.-26,71017012,มันแกว,ดีเคกรีนลีฟ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
6,C.006/01,C.260102/04,260102/06,2/1/2026,2/1/2026,2-ม.ค.-26,71013006,หอมแดงปอก,SPK,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
7,C.007/01,C.260102/04,260102/07,2/1/2026,2/1/2026,2-ม.ค.-26,71004036,กระเทียมกลีบใหญ่ ,SPK,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
8,C.008/01,C.260102/04,260102/08,2/1/2026,2/1/2026,2-ม.ค.-26,71000050,แครอทภายใน,SPK,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
9,C.009/01,C.260102/04,260102/09,2/1/2026,2/1/2026,2-ม.ค.-26,71017012,มันแกว,SPK,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
